,Poker_group_id,value,revenuedate
0,GOP3,77584.99,2020-01-01 00:00:00+00:00
1,GOP3,73217.5876,2020-01-02 00:00:00+00:00
2,GOP3,69599.3543,2020-01-03 00:00:00+00:00
3,GOP3,75181.0996,2020-01-04 00:00:00+00:00
4,GOP3,61381.7767,2020-01-05 00:00:00+00:00
5,GOP3,54835.6974,2020-01-06 00:00:00+00:00
6,GOP3,62545.0463,2020-01-07 00:00:00+00:00
7,GOP3,47848.0989,2020-01-08 00:00:00+00:00
8,GOP3,44332.9829,2020-01-09 00:00:00+00:00
9,GOP3,72738.6969,2020-01-10 00:00:00+00:00
10,GOP3,64992.058,2020-01-11 00:00:00+00:00
11,GOP3,49031.6394,2020-01-12 00:00:00+00:00
12,GOP3,56645.5342,2020-01-13 00:00:00+00:00
13,GOP3,54469.0182,2020-01-14 00:00:00+00:00
14,GOP3,73088.756,2020-01-15 00:00:00+00:00
15,GOP3,60139.2614,2020-01-16 00:00:00+00:00
16,GOP3,71040.3621,2020-01-17 00:00:00+00:00
17,GOP3,65851.5324,2020-01-18 00:00:00+00:00
18,GOP3,54730.2768,2020-01-19 00:00:00+00:00
19,GOP3,60727.0888,2020-01-20 00:00:00+00:00
20,GOP3,60703.7061,2020-01-21 00:00:00+00:00
21,GOP3,69412.4839,2020-01-22 00:00:00+00:00
22,GOP3,55710.2359,2020-01-23 00:00:00+00:00
23,GOP3,84432.9881,2020-01-24 00:00:00+00:00
24,GOP3,62097.687,2020-01-25 00:00:00+00:00
25,GOP3,54106.391,2020-01-26 00:00:00+00:00
26,GOP3,55703.9055,2020-01-27 00:00:00+00:00
27,GOP3,58581.8804,2020-01-28 00:00:00+00:00
28,GOP3,53993.7124,2020-01-29 00:00:00+00:00
29,GOP3,60703.4162,2020-01-30 00:00:00+00:00
30,GOP3,73941.1859,2020-01-31 00:00:00+00:00
31,GOP3,73160.0831,2020-02-01 00:00:00+00:00
32,GOP3,56389.6656,2020-02-02 00:00:00+00:00
33,GOP3,59273.924,2020-02-03 00:00:00+00:00
34,GOP3,65324.9734,2020-02-04 00:00:00+00:00
35,GOP3,85916.3461,2020-02-05 00:00:00+00:00
36,GOP3,68641.0923,2020-02-06 00:00:00+00:00
37,GOP3,69575.4335,2020-02-07 00:00:00+00:00
38,GOP3,69722.7607,2020-02-08 00:00:00+00:00
39,GOP3,60109.3132,2020-02-09 00:00:00+00:00
40,GOP3,62488.5508,2020-02-10 00:00:00+00:00
41,GOP3,63478.7145,2020-02-11 00:00:00+00:00
42,GOP3,62746.0266,2020-02-12 00:00:00+00:00
43,GOP3,61755.3613,2020-02-13 00:00:00+00:00
44,GOP3,70387.1391,2020-02-14 00:00:00+00:00
45,GOP3,63235.313,2020-02-15 00:00:00+00:00
46,GOP3,53316.7235,2020-02-16 00:00:00+00:00
47,GOP3,57263.2725,2020-02-17 00:00:00+00:00
48,GOP3,69012.073,2020-02-18 00:00:00+00:00
49,GOP3,94311.3501,2020-02-19 00:00:00+00:00
50,GOP3,79746.1731,2020-02-20 00:00:00+00:00
51,GOP3,100452.2073,2020-02-21 00:00:00+00:00
52,GOP3,88207.2257,2020-02-22 00:00:00+00:00
53,GOP3,73173.0783,2020-02-23 00:00:00+00:00
54,GOP3,69912.9033,2020-02-24 00:00:00+00:00
55,GOP3,70064.3772,2020-02-25 00:00:00+00:00
56,GOP3,82973.8311,2020-02-26 00:00:00+00:00
57,GOP3,92133.346,2020-02-27 00:00:00+00:00
58,GOP3,88922.903,2020-02-28 00:00:00+00:00
59,GOP3,80962.2362,2020-02-29 00:00:00+00:00
60,GOP3,85475.6669,2020-03-01 00:00:00+00:00
61,GOP3,68975.9143,2020-03-02 00:00:00+00:00
62,GOP3,79205.3618,2020-03-03 00:00:00+00:00
63,GOP3,60459.31,2020-03-04 00:00:00+00:00
64,GOP3,58531.0429,2020-03-05 00:00:00+00:00
65,GOP3,77567.2983,2020-03-06 00:00:00+00:00
66,GOP3,71906.124,2020-03-07 00:00:00+00:00
67,GOP3,58636.6425,2020-03-08 00:00:00+00:00
68,GOP3,70941.5227,2020-03-09 00:00:00+00:00
69,GOP3,66317.4373,2020-03-10 00:00:00+00:00
70,GOP3,75021.0195,2020-03-11 00:00:00+00:00
71,GOP3,70081.4325,2020-03-12 00:00:00+00:00
72,GOP3,81173.2269,2020-03-13 00:00:00+00:00
73,GOP3,82108.0404,2020-03-14 00:00:00+00:00
74,GOP3,62696.6208,2020-03-15 00:00:00+00:00
75,GOP3,71457.3534,2020-03-16 00:00:00+00:00
76,GOP3,69906.8794,2020-03-17 00:00:00+00:00
77,GOP3,102344.1524,2020-03-18 00:00:00+00:00
78,GOP3,90973.6267,2020-03-19 00:00:00+00:00
79,GOP3,95297.22,2020-03-20 00:00:00+00:00
80,GOP3,87158.0948,2020-03-21 00:00:00+00:00
81,GOP3,76608.416,2020-03-22 00:00:00+00:00
82,GOP3,79716.9325,2020-03-23 00:00:00+00:00
83,GOP3,86334.9454999999,2020-03-24 00:00:00+00:00
84,GOP3,92358.1863,2020-03-25 00:00:00+00:00
85,GOP3,92191.5754,2020-03-26 00:00:00+00:00
86,GOP3,109603.9499,2020-03-27 00:00:00+00:00
87,GOP3,99800.0118,2020-03-28 00:00:00+00:00
88,GOP3,84982.2236,2020-03-29 00:00:00+00:00
89,GOP3,90642.064,2020-03-30 00:00:00+00:00
90,GOP3,89937.0085,2020-03-31 00:00:00+00:00
91,GOP3,99568.7907,2020-04-01 00:00:00+00:00
92,GOP3,101027.4454,2020-04-02 00:00:00+00:00
93,GOP3,106689.7168,2020-04-03 00:00:00+00:00
94,GOP3,108585.8414,2020-04-04 00:00:00+00:00
95,GOP3,87555.2283,2020-04-05 00:00:00+00:00
96,GOP3,82925.5313,2020-04-06 00:00:00+00:00
97,GOP3,86586.2548,2020-04-07 00:00:00+00:00
98,GOP3,98625.4338,2020-04-08 00:00:00+00:00
99,GOP3,103012.6669,2020-04-09 00:00:00+00:00
100,GOP3,114261.1833,2020-04-10 00:00:00+00:00
101,GOP3,109121.7936,2020-04-11 00:00:00+00:00
102,GOP3,83059.1874,2020-04-12 00:00:00+00:00
103,GOP3,88928.5699,2020-04-13 00:00:00+00:00
104,GOP3,95173.0268,2020-04-14 00:00:00+00:00
105,GOP3,94976.8703,2020-04-15 00:00:00+00:00
106,GOP3,116216.9014,2020-04-16 00:00:00+00:00
107,GOP3,111701.483,2020-04-17 00:00:00+00:00
108,GOP3,100278.6624,2020-04-18 00:00:00+00:00
109,GOP3,88498.908,2020-04-19 00:00:00+00:00
110,GOP3,99992.2068,2020-04-20 00:00:00+00:00
111,GOP3,89801.616,2020-04-21 00:00:00+00:00
112,GOP3,96489.6181,2020-04-22 00:00:00+00:00
113,GOP3,100449.2311,2020-04-23 00:00:00+00:00
114,GOP3,105516.9405,2020-04-24 00:00:00+00:00
115,GOP3,99997.6318,2020-04-25 00:00:00+00:00
116,GOP3,96243.4202,2020-04-26 00:00:00+00:00
117,GOP3,94368.0027,2020-04-27 00:00:00+00:00
