,Poker_group_id,value,revenuedate
0,Monopoly Poker,2858.5984,2021-10-18 00:00:00+00:00
1,Monopoly Poker,136.7691,2020-01-30 00:00:00+00:00
2,Monopoly Poker,163.7636,2020-02-11 00:00:00+00:00
3,Monopoly Poker,57.3076,2020-01-01 00:00:00+00:00
4,Monopoly Poker,67.3858,2020-01-02 00:00:00+00:00
5,Monopoly Poker,280.6458,2020-01-03 00:00:00+00:00
6,Monopoly Poker,254.8796,2020-01-04 00:00:00+00:00
7,Monopoly Poker,57.045,2020-01-05 00:00:00+00:00
8,Monopoly Poker,143.894,2020-01-06 00:00:00+00:00
9,Monopoly Poker,152.2919,2020-01-07 00:00:00+00:00
10,Monopoly Poker,122.2341,2020-01-08 00:00:00+00:00
11,Monopoly Poker,181.9087,2020-01-09 00:00:00+00:00
12,Monopoly Poker,74.8276,2020-01-10 00:00:00+00:00
13,Monopoly Poker,63.2239,2020-01-11 00:00:00+00:00
14,Monopoly Poker,104.0039,2020-01-12 00:00:00+00:00
15,Monopoly Poker,173.3271,2020-01-13 00:00:00+00:00
16,Monopoly Poker,83.7631,2020-01-14 00:00:00+00:00
17,Monopoly Poker,76.1567,2020-01-15 00:00:00+00:00
18,Monopoly Poker,194.3222,2020-01-16 00:00:00+00:00
19,Monopoly Poker,317.8354,2020-01-17 00:00:00+00:00
20,Monopoly Poker,106.5008,2020-01-18 00:00:00+00:00
21,Monopoly Poker,164.1918,2020-01-19 00:00:00+00:00
22,Monopoly Poker,119.7341,2020-01-20 00:00:00+00:00
23,Monopoly Poker,56.1584,2020-01-21 00:00:00+00:00
24,Monopoly Poker,130.1036,2020-01-22 00:00:00+00:00
25,Monopoly Poker,87.4695,2020-01-23 00:00:00+00:00
26,Monopoly Poker,124.9313,2020-01-24 00:00:00+00:00
27,Monopoly Poker,49.6748,2020-01-25 00:00:00+00:00
28,Monopoly Poker,103.18,2020-01-26 00:00:00+00:00
29,Monopoly Poker,177.9501,2020-01-27 00:00:00+00:00
30,Monopoly Poker,170.8845,2020-01-28 00:00:00+00:00
31,Monopoly Poker,119.8405,2020-01-29 00:00:00+00:00
32,Monopoly Poker,192.2665,2020-01-31 00:00:00+00:00
33,Monopoly Poker,130.5063,2020-02-01 00:00:00+00:00
34,Monopoly Poker,155.7902,2020-02-02 00:00:00+00:00
35,Monopoly Poker,136.7664,2020-02-03 00:00:00+00:00
36,Monopoly Poker,282.5457,2020-02-04 00:00:00+00:00
37,Monopoly Poker,352.0105,2020-02-05 00:00:00+00:00
38,Monopoly Poker,232.3705,2020-02-06 00:00:00+00:00
39,Monopoly Poker,176.1875,2020-02-07 00:00:00+00:00
40,Monopoly Poker,324.4866,2020-02-08 00:00:00+00:00
41,Monopoly Poker,237.0928,2020-02-09 00:00:00+00:00
42,Monopoly Poker,171.2081,2020-02-10 00:00:00+00:00
43,Monopoly Poker,284.733,2020-02-12 00:00:00+00:00
44,Monopoly Poker,183.4666,2020-02-13 00:00:00+00:00
45,Monopoly Poker,194.7231,2020-02-14 00:00:00+00:00
46,Monopoly Poker,141.1766,2020-02-15 00:00:00+00:00
47,Monopoly Poker,271.0354,2020-02-16 00:00:00+00:00
48,Monopoly Poker,242.0154,2020-02-17 00:00:00+00:00
49,Monopoly Poker,202.9335,2020-02-18 00:00:00+00:00
50,Monopoly Poker,285.1276,2020-02-19 00:00:00+00:00
51,Monopoly Poker,100.0428,2020-02-20 00:00:00+00:00
52,Monopoly Poker,196.492,2020-02-21 00:00:00+00:00
53,Monopoly Poker,116.5879,2020-02-22 00:00:00+00:00
54,Monopoly Poker,140.4546,2020-02-23 00:00:00+00:00
55,Monopoly Poker,140.7263,2020-02-24 00:00:00+00:00
56,Monopoly Poker,155.1563,2020-02-25 00:00:00+00:00
57,Monopoly Poker,284.941,2020-02-26 00:00:00+00:00
58,Monopoly Poker,253.3379,2020-02-27 00:00:00+00:00
59,Monopoly Poker,366.1953,2020-02-28 00:00:00+00:00
60,Monopoly Poker,193.7884,2020-02-29 00:00:00+00:00
61,Monopoly Poker,198.0878,2020-03-01 00:00:00+00:00
62,Monopoly Poker,175.8789,2020-03-02 00:00:00+00:00
63,Monopoly Poker,255.2612,2020-03-03 00:00:00+00:00
64,Monopoly Poker,155.0688,2020-03-04 00:00:00+00:00
65,Monopoly Poker,311.8547,2020-03-05 00:00:00+00:00
66,Monopoly Poker,421.3754,2020-03-06 00:00:00+00:00
67,Monopoly Poker,163.2459,2020-03-07 00:00:00+00:00
