,Poker_group_id,value,revenuedate
0,Poker World,1555.259928,2020-11-11 00:00:00+00:00
1,Poker World,1397.963612,2020-11-12 00:00:00+00:00
2,Poker World,1127.292356,2020-11-13 00:00:00+00:00
3,Poker World,1652.925646,2020-11-14 00:00:00+00:00
4,Poker World,1135.760724,2020-11-15 00:00:00+00:00
5,Poker World,1185.870758,2020-11-16 00:00:00+00:00
6,Poker World,1104.537059,2020-11-17 00:00:00+00:00
7,Poker World,1147.621659,2020-11-18 00:00:00+00:00
8,Poker World,1239.469415,2020-11-19 00:00:00+00:00
9,Poker World,1196.915401,2020-11-20 00:00:00+00:00
10,Poker World,1254.636168,2020-11-21 00:00:00+00:00
11,Poker World,1259.407311,2020-11-22 00:00:00+00:00
12,Poker World,1230.572167,2020-11-23 00:00:00+00:00
13,Poker World,1077.57286,2020-11-24 00:00:00+00:00
14,Poker World,915.720356,2020-11-25 00:00:00+00:00
15,Poker World,1004.97847,2020-11-26 00:00:00+00:00
16,Poker World,671.7621,2020-11-27 00:00:00+00:00
17,Poker World,1258.873118,2020-11-28 00:00:00+00:00
18,Poker World,900.636703,2020-11-29 00:00:00+00:00
19,Poker World,1189.84954,2020-11-30 00:00:00+00:00
20,Poker World,1114.375448,2020-12-01 00:00:00+00:00
21,Poker World,1043.833454,2020-12-02 00:00:00+00:00
22,Poker World,1194.744003,2020-12-03 00:00:00+00:00
23,Poker World,1190.224918,2020-12-04 00:00:00+00:00
24,Poker World,1305.116371,2020-12-05 00:00:00+00:00
25,Poker World,1050.836623,2020-12-06 00:00:00+00:00
26,Poker World,1141.906924,2020-12-07 00:00:00+00:00
27,Poker World,1012.294708,2020-12-08 00:00:00+00:00
28,Poker World,1044.807038,2020-12-09 00:00:00+00:00
29,Poker World,1190.418374,2020-12-10 00:00:00+00:00
30,Poker World,1357.955373,2020-12-11 00:00:00+00:00
31,Poker World,1309.052616,2020-12-12 00:00:00+00:00
32,Poker World,1060.658596,2020-12-13 00:00:00+00:00
33,Poker World,1094.795299,2020-12-14 00:00:00+00:00
34,Poker World,919.789481,2020-12-15 00:00:00+00:00
35,Poker World,1017.285177,2020-12-16 00:00:00+00:00
36,Poker World,1258.66681,2020-12-17 00:00:00+00:00
37,Poker World,1139.257062,2020-12-18 00:00:00+00:00
38,Poker World,1290.191753,2020-12-19 00:00:00+00:00
39,Poker World,1084.55926,2020-12-20 00:00:00+00:00
40,Poker World,1115.497815,2020-12-21 00:00:00+00:00
41,Poker World,1132.843194,2020-12-22 00:00:00+00:00
42,Poker World,1262.009988,2020-12-23 00:00:00+00:00
43,Poker World,1018.153005,2020-12-24 00:00:00+00:00
44,Poker World,1382.0183,2020-12-25 00:00:00+00:00
45,Poker World,1079.863859,2020-12-26 00:00:00+00:00
46,Poker World,1315.390948,2020-12-27 00:00:00+00:00
47,Poker World,1130.495559,2020-12-28 00:00:00+00:00
48,Poker World,1275.975157,2020-12-29 00:00:00+00:00
49,Poker World,1145.903926,2020-12-30 00:00:00+00:00
50,Poker World,1258.26168,2020-12-31 00:00:00+00:00
51,Poker World,1106.7321,2021-01-01 00:00:00+00:00
52,Poker World,1304.620455,2021-01-02 00:00:00+00:00
53,Poker World,1403.24147,2021-01-03 00:00:00+00:00
54,Poker World,1326.210108,2021-01-04 00:00:00+00:00
55,Poker World,1353.978252,2021-01-05 00:00:00+00:00
56,Poker World,1325.071723,2021-01-06 00:00:00+00:00
57,Poker World,1496.106304,2021-01-07 00:00:00+00:00
58,Poker World,1159.864266,2021-01-08 00:00:00+00:00
59,Poker World,1181.852147,2021-01-09 00:00:00+00:00
60,Poker World,1344.470823,2021-01-10 00:00:00+00:00
61,Poker World,1090.575282,2021-01-11 00:00:00+00:00
62,Poker World,1364.335197,2021-01-12 00:00:00+00:00
63,Poker World,1158.535172,2021-01-13 00:00:00+00:00
64,Poker World,1147.962646,2021-01-14 00:00:00+00:00
65,Poker World,1095.53008,2021-01-15 00:00:00+00:00
66,Poker World,1695.905777,2021-01-16 00:00:00+00:00
67,Poker World,1156.646663,2021-01-17 00:00:00+00:00
68,Poker World,1157.752153,2021-01-18 00:00:00+00:00
69,Poker World,1417.159069,2021-01-19 00:00:00+00:00
70,Poker World,1185.069089,2021-01-20 00:00:00+00:00
71,Poker World,1231.512255,2021-01-21 00:00:00+00:00
72,Poker World,1210.930381,2021-01-22 00:00:00+00:00
73,Poker World,1199.286535,2021-01-23 00:00:00+00:00
74,Poker World,963.086911,2021-01-24 00:00:00+00:00
75,Poker World,996.846273,2021-01-25 00:00:00+00:00
76,Poker World,1228.12964,2021-01-26 00:00:00+00:00
77,Poker World,1089.85413,2021-01-27 00:00:00+00:00
78,Poker World,1315.714446,2021-01-28 00:00:00+00:00
79,Poker World,1336.463958,2021-01-29 00:00:00+00:00
