revenuedate,totalrevenue
2020-01-01 00:00:00.000000,11651.3597
2020-01-02 00:00:00.000000,13567.0124
2020-01-03 00:00:00.000000,18360.2716
2020-01-04 00:00:00.000000,17249.2895
2020-01-05 00:00:00.000000,13080.5016
2020-01-06 00:00:00.000000,11883.522
2020-01-07 00:00:00.000000,12406.6663
2020-01-08 00:00:00.000000,2800.6211
2020-01-09 00:00:00.000000,10486.864
2020-01-10 00:00:00.000000,17845.3769
2020-01-11 00:00:00.000000,14525.0089
2020-01-12 00:00:00.000000,11832.7667
2020-01-13 00:00:00.000000,11817.0854
2020-01-14 00:00:00.000000,11549.4176
2020-01-15 00:00:00.000000,12392.8935
2020-01-16 00:00:00.000000,12730.9851
2020-01-17 00:00:00.000000,13827.1025
2020-01-18 00:00:00.000000,14799.7329
2020-01-19 00:00:00.000000,13488.1543
2020-01-20 00:00:00.000000,11286.2725
2020-01-21 00:00:00.000000,12209.2601
2020-01-22 00:00:00.000000,12280.2091
2020-01-23 00:00:00.000000,13088.5993
2020-01-24 00:00:00.000000,15588.4405
2020-01-25 00:00:00.000000,14880.0522
2020-01-26 00:00:00.000000,13394.2881
2020-01-27 00:00:00.000000,16781.754364
2020-01-28 00:00:00.000000,13558.9928
2020-01-29 00:00:00.000000,12044.55
2020-01-30 00:00:00.000000,12946.545
2020-01-31 00:00:00.000000,15037.6866
2020-02-01 00:00:00.000000,15190.9688
2020-02-02 00:00:00.000000,16094.8444
2020-02-03 00:00:00.000000,17087.6663
2020-02-04 00:00:00.000000,20304.2505
2020-02-05 00:00:00.000000,19084.0322
2020-02-06 00:00:00.000000,15940.5179
2020-02-07 00:00:00.000000,20359.8703
2020-02-08 00:00:00.000000,16842.277
2020-02-09 00:00:00.000000,13928.2559
2020-02-10 00:00:00.000000,14767.5896
2020-02-11 00:00:00.000000,13006.9911
2020-02-12 00:00:00.000000,13461.5971
2020-02-13 00:00:00.000000,10583.3363
2020-02-14 00:00:00.000000,16929.5203
2020-02-15 00:00:00.000000,14865.5369
2020-02-16 00:00:00.000000,12695.4065
2020-02-17 00:00:00.000000,15117.8198
2020-02-18 00:00:00.000000,13503.1597
2020-02-19 00:00:00.000000,13888.5873
2020-02-20 00:00:00.000000,11773.0082
2020-02-21 00:00:00.000000,13268.613034
2020-02-22 00:00:00.000000,13428.358832
2020-02-23 00:00:00.000000,11542.321685
2020-02-24 00:00:00.000000,11436.5569
2020-02-25 00:00:00.000000,11122.1342
2020-02-26 00:00:00.000000,11054.4633
2020-02-27 00:00:00.000000,11705.064333
2020-02-28 00:00:00.000000,15902.2224
2020-02-29 00:00:00.000000,13363.8398
2020-03-01 00:00:00.000000,11132.1275
2020-03-02 00:00:00.000000,15258.4275
2020-03-03 00:00:00.000000,14644.6787
2020-03-04 00:00:00.000000,23510.2456
2020-03-05 00:00:00.000000,15506.6146
2020-03-06 00:00:00.000000,12969.3982
2020-03-07 00:00:00.000000,12220.3893
2020-03-08 00:00:00.000000,10507.0709
2020-03-09 00:00:00.000000,12489.2117
2020-03-10 00:00:00.000000,10596.2685
2020-03-11 00:00:00.000000,13437.5673
